Component,Description,Price (USD),Link
Arduino Due (32-bit),Central microcontroller,$61.67,https://store.arduino.cc/products/arduino-due
5″ HDMI Capacitive Touchscreen,Touchscreen display (touch disabled),93,https://www.ubuy.com.eg/en/product/M6RO5B59M-5inch-ips-touch-screen-1024x600
USB-Powered Mini Speaker,Plays bird/nature sounds,19.99,https://www.amazon.com/dp/B08C2WTKN1
HDMI → Micro-HDMI Cable,Slim signal cable for video,10,https://www.argosycable.com/product/lindy-cromo-slim-hdmi-cable-with-ethernet
2 USB-C 3A Power Adapter,Main power for system,18.99,https://www.amazon.com/dp/B07TYQRXTK
Charge-only USB Cable,Prevents touch interruptions,9,
Screws & Hot Glue,Fixing components inside case,8,
Fan & Heat Sink,Cooling for long sessions,4.99,

,TOTAL,$225,


